GRACT,SMACT,SMOCC,DRAMA,FP64A,FP32A,FP16A,INTAC,TENSO,TDFMA,Cluster_Label
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.094,0.087,0.05,0.056,0.0,0.0,0.0,0.068,0.0,0.0,3
0.125,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.122,0.112,0.064,0.072,0.0,0.0,0.0,0.087,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.36,0.183,0.143,0.116,0.0,0.0,0.0,0.0,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.12,0.111,0.064,0.071,0.0,0.0,0.0,0.087,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.108,0.1,0.057,0.064,0.0,0.0,0.0,0.078,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.106,0.098,0.056,0.063,0.0,0.0,0.0,0.076,0.0,0.0,3
0.125,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.104,0.097,0.055,0.062,0.0,0.0,0.0,0.075,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.104,0.096,0.055,0.062,0.0,0.0,0.0,0.075,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.125,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.106,0.098,0.056,0.063,0.0,0.0,0.0,0.076,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.465,0.302,0.075,0.101,0.0,0.0,0.0,0.0,0.0,0.0,3
0.115,0.106,0.061,0.075,0.0,0.0,0.0,0.082,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.115,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.115,0.107,0.061,0.068,0.0,0.0,0.0,0.083,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.095,0.088,0.05,0.056,0.0,0.0,0.0,0.069,0.0,0.0,3
0.124,0.115,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.102,0.094,0.054,0.061,0.0,0.0,0.0,0.074,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.119,0.111,0.063,0.071,0.0,0.0,0.0,0.086,0.0,0.0,3
0.125,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.105,0.097,0.056,0.062,0.0,0.0,0.0,0.076,0.0,0.0,3
0.124,0.115,0.066,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.125,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.114,0.105,0.06,0.067,0.0,0.0,0.0,0.082,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.099,0.092,0.053,0.059,0.0,0.0,0.0,0.072,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.102,0.095,0.054,0.061,0.0,0.0,0.0,0.074,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.094,0.087,0.05,0.056,0.0,0.0,0.0,0.068,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.112,0.104,0.059,0.066,0.0,0.0,0.0,0.081,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.103,0.095,0.054,0.061,0.0,0.0,0.0,0.074,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.099,0.091,0.052,0.059,0.0,0.0,0.0,0.071,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.121,0.112,0.064,0.072,0.0,0.0,0.0,0.087,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.122,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.117,0.108,0.062,0.069,0.0,0.0,0.0,0.084,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.096,0.089,0.051,0.057,0.0,0.0,0.0,0.069,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.104,0.096,0.055,0.062,0.0,0.0,0.0,0.075,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.106,0.098,0.056,0.063,0.0,0.0,0.0,0.076,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.111,0.102,0.058,0.065,0.0,0.0,0.0,0.079,0.0,0.0,3
0.122,0.113,0.065,0.072,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.122,0.112,0.064,0.072,0.0,0.0,0.0,0.088,0.0,0.0,3
0.121,0.112,0.064,0.072,0.0,0.0,0.0,0.087,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.094,0.087,0.05,0.056,0.0,0.0,0.0,0.068,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.072,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.122,0.113,0.065,0.072,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.125,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.099,0.091,0.052,0.058,0.0,0.0,0.0,0.071,0.0,0.0,3
0.124,0.115,0.066,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.101,0.093,0.053,0.06,0.0,0.0,0.0,0.072,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.113,0.104,0.06,0.067,0.0,0.0,0.0,0.081,0.0,0.0,3
0.122,0.113,0.064,0.072,0.0,0.0,0.0,0.088,0.0,0.0,3
0.122,0.113,0.064,0.072,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.122,0.113,0.065,0.072,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.106,0.098,0.056,0.063,0.0,0.0,0.0,0.076,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.124,0.115,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.113,0.104,0.06,0.067,0.0,0.0,0.0,0.081,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.09,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.121,0.112,0.064,0.071,0.0,0.0,0.0,0.087,0.0,0.0,3
0.124,0.115,0.066,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.112,0.103,0.059,0.066,0.0,0.0,0.0,0.08,0.0,0.0,3
0.125,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.115,0.066,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.124,0.114,0.065,0.073,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.123,0.113,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
0.096,0.089,0.051,0.057,0.0,0.0,0.0,0.069,0.0,0.0,3
0.124,0.115,0.066,0.074,0.0,0.0,0.0,0.089,0.0,0.0,3
0.123,0.114,0.065,0.073,0.0,0.0,0.0,0.088,0.0,0.0,3
